StudyID;SampleID;ESID;CaseID_Count;2_Author;3_Year;interval;timepoints;10_Size;11_Mage;16_CNT;17_Eth;18_Female;Negative/Positive+LS;30_Covid;31_WBm;33_Relt1;34_Relt;avg_rel;WBmi;WBsdi;WBmj;WBsdj;WBcorrij;WBtitj;region;income_level;agem1ic1;agem1ic2;agem1ic3;timelagc;agem2i;corrmean;corrx;es_d;es_dyear;v_d;v_dyear
11522;12115220;300;3;Zhang et al.;2016;3-4;4;374;12,78;U.S.;White/European;0,5;0;no;Satisfaction with life scale ( Diener et al., 1985);0,9;0,94;0,92;3,76;0,75;3,72;0,83;0,63;0,5;North America;High income;-0,94;0,8836;-0,830584;-0,49;13,28;0,524095238;0,63;-0,053333333;-0,106666667;0,001982412;0,007929649
11522;12115221;301;3;Zhang et al.;2016;1-2;4;374;12,78;U.S.;White/European;0,5;1;no;Other;0,9;0,92;0,91;2,57;0,7;2,61;0,77;0,57;0,5;North America;High income;-0,94;0,8836;-0,830584;-0,49;13,28;0,524095238;0,57;0,057142857;0,114285714;0,002303831;0,009215322
11522;12115221;302;3;Zhang et al.;2016;2-3;4;374;12,78;U.S.;White/European;0,5;1;no;Other;0,9;0,92;0,91;2,61;0,77;2,57;0,75;0,68;0,5;North America;High income;-0,94;0,8836;-0,830584;-0,49;13,28;0,524095238;0,68;-0,051948052;-0,103896104;0,001714838;0,006859351
11522;12115221;303;3;Zhang et al.;2016;3-4;4;374;12,78;U.S.;White/European;0,5;1;no;Other;0,9;0,92;0,91;2,57;0,75;2,58;0,76;0,64;0,5;North America;High income;-0,94;0,8836;-0,830584;-0,49;13,28;0,524095238;0,64;0,013333333;0,026666667;0,001925371;0,007701485
11522;12115222;304;3;Zhang et al.;2016;1-2;4;451;12,69;China;Asian;0,47;0;no;Other;0,97;0,92;0,95;3,57;0,67;3,56;0,76;0,53;0,5;Asia;Upper middle income;-1,03;1,0609;-1,092727;-0,49;13,19;0,524095238;0,53;-0,014925373;-0,029850746;0,002084504;0,008338017
11522;12115222;305;3;Zhang et al.;2016;2-3;4;451;12,69;China;Asian;0,47;0;no;Other;0,97;0,92;0,95;3,56;0,76;3,56;0,74;0,59;0,5;Asia;Upper middle income;-1,03;1,0609;-1,092727;-0,49;13,19;0,524095238;0,59;0;0;0,001818182;0,007272727
11522;12115222;306;3;Zhang et al.;2016;3-4;4;451;12,69;China;Asian;0,47;0;no;Other;0,97;0,92;0,95;3,56;0,74;3,59;0,74;0,54;0,5;Asia;Upper middle income;-1,03;1,0609;-1,092727;-0,49;13,19;0,524095238;0,54;0,040540541;0,081081081;0,002041733;0,008166934
11522;12115223;307;3;Zhang et al.;2016;1-2;4;451;12,69;China;Asian;0,47;1;no;Satisfaction with life scale ( Diener et al., 1985);0,91;0,93;0,92;2,31;0,7;2,38;0,78;0,53;0,5;Asia;Upper middle income;-1,03;1,0609;-1,092727;-0,49;13,19;0,524095238;0,53;0,1;0,2;0,002095344;0,008381375
11522;12115223;308;3;Zhang et al.;2016;2-3;4;451;12,69;China;Asian;0,47;1;no;Satisfaction with life scale ( Diener et al., 1985);0,91;0,93;0,92;2,38;0,78;2,51;0,74;0,6;0,5;Asia;Upper middle income;-1,03;1,0609;-1,092727;-0,49;13,19;0,524095238;0,6;0,166666667;0,333333333;0,001804632;0,007218527
11522;12115223;309;3;Zhang et al.;2016;3-4;4;451;12,69;China;Asian;0,47;1;no;Satisfaction with life scale ( Diener et al., 1985);0,91;0,93;0,92;2,51;0,74;2,48;0,77;0,52;0,5;Asia;Upper middle income;-1,03;1,0609;-1,092727;-0,49;13,19;0,524095238;0,52;-0,040540541;-0,081081081;0,002130425;0,008521701
11522;12115224;310;2;Zhang et al.;2016;1-2;3;203;12,76;U.S.;White/European;0,46;0;no;Other;0,87;0,91;0,89;3,89;0,61;3,99;0,59;0,49;0,5;North America;High income;-0,96;0,9216;-0,884736;-0,49;13,26;0,524095238;0,49;0,163934426;0,327868852;0,005090824;0,020363296
11522;12115224;311;2;Zhang et al.;2016;2-3;3;203;12,76;U.S.;White/European;0,46;0;no;Other;0,87;0,91;0,89;3,99;0,59;3,94;0,65;0,6;0,5;North America;High income;-0,96;0,9216;-0,884736;-0,49;13,26;0,524095238;0,6;-0,084745763;-0,169491525;0,003958576;0,015834304
11522;12115225;312;2;Zhang et al.;2016;1-2;3;203;12,76;U.S.;White/European;0,46;1;no;Other;0,83;0,9;0,86;2;0,81;1,94;0,8;0,65;0,5;North America;High income;-0,96;0,9216;-0,884736;-0,49;13,26;0,524095238;0,65;-0,074074074;-0,148148148;0,003461791;0,013847162
11522;12115225;313;2;Zhang et al.;2016;2-3;3;203;12,76;U.S.;White/European;0,46;1;no;Other;0,83;0,9;0,86;1,94;0,8;1,97;0,86;0,66;0,5;North America;High income;-0,96;0,9216;-0,884736;-0,49;13,26;0,524095238;0,66;0,0375;0,075;0,003353217;0,013412869
11522;12115226;314;2;Zhang et al.;2016;1-2;3;194;12,62;China;Asian;0,54;0;no;Other;0,86;0,87;0,86;3,46;0,64;3,67;0,63;0,59;0,5;Asia;Upper middle income;-1,1;1,21;-1,331;-0,49;13,12;0,524095238;0,59;0,328125;0,65625;0,004504294;0,018017175
11522;12115226;315;2;Zhang et al.;2016;2-3;3;194;12,62;China;Asian;0,54;0;no;Other;0,86;0,87;0,86;3,67;0,63;3,71;0,66;0,6;0,5;Asia;Upper middle income;-1,1;1,21;-1,331;-0,49;13,12;0,524095238;0,6;0,063492063;0,126984127;0,004134101;0,016536405
11522;12115227;316;2;Zhang et al.;2016;1-2;3;194;12,62;China;Asian;0,54;1;no;Other;0,87;0,9;0,88;2,14;0,7;2,19;0,75;0,6;0,5;Asia;Upper middle income;-1,1;1,21;-1,331;-0,49;13,12;0,524095238;0,6;0,071428571;0,142857143;0,004136861;0,016547444
11522;12115227;317;2;Zhang et al.;2016;2-3;3;194;12,62;China;Asian;0,54;1;no;Other;0,87;0,9;0,88;2,19;0,75;2,33;0,72;0,56;0,5;Asia;Upper middle income;-1,1;1,21;-1,331;-0,49;13,12;0,524095238;0,56;0,186666667;0,373333333;0,004625888;0,018503551
11523;13115230;318;4;Adie et al.;2010;1-2;5;91;13,82;UK;Not specified;0;0;no;Other;0,8;0,92;0,86;5,98;0,74;5,72;0,99;;0,99;Europe;High income;0,1;0,01;0,001;0;14,81;0,524095238;0,524095238;-0,351351351;-0,354900355;0,01113773;0,011363871
11523;13115230;319;4;Adie et al.;2010;2-3;5;91;13,82;UK;Not specified;0;0;no;Other;0,8;0,92;0,86;5,72;0,99;5,7;0,94;;0,99;Europe;High income;0,1;0,01;0,001;0;14,81;0,524095238;0,524095238;-0,02020202;-0,020406081;0,010461688;0,010674102
11523;13115230;320;4;Adie et al.;2010;3-4;5;91;13,82;UK;Not specified;0;0;no;Other;0,8;0,92;0,86;5,7;0,94;5,86;0,99;;0,99;Europe;High income;0,1;0,01;0,001;0;14,81;0,524095238;0,524095238;0,170212766;0,171932087;0,010618634;0,010834236
11523;13115230;321;4;Adie et al.;2010;4-5;5;91;13,82;UK;Not specified;0;0;no;Other;0,8;0,92;0,86;5,86;0,99;5,69;1,1;;1;Europe;High income;0,1;0,01;0,001;0,01;14,82;0,524095238;0,524095238;-0,171717172;-0,171717172;0,010621461;0,010621461
11523;13115231;322;4;Adie et al.;2010;1-2;5;91;13,82;UK;Not specified;0;1;no;Other;0,75;0,81;0,78;2,16;0,85;2,54;1,09;;0,99;Europe;High income;0,1;0,01;0,001;0;14,81;0,524095238;0,524095238;0,447058824;0,451574569;0,011557586;0,011792252
